Layer name,Ifmap height,ifmap width,filter height,filter width,channels,num filters,strides,
conv4_1_1,28,28,1,1,512,256,2,
conv4_1_2,14,14,3,3,256,256,1,
conv4_1_3,14,14,1,1,256,1024,1,
conv4_2_1,14,14,1,1,1024,256,1,
conv4_2_2,14,14,3,3,256,256,1,
conv4_2_3,14,14,1,1,256,1024,1,
conv4_3_1,14,14,1,1,1024,256,1,
conv4_3_2,14,14,3,3,256,256,1,
conv4_3_3,14,14,1,1,256,1024,1,
conv4_4_1,14,14,1,1,1024,256,1,
conv4_4_2,14,14,3,3,256,256,1,
conv4_4_3,14,14,1,1,256,1024,1,
conv4_5_1,14,14,1,1,1024,256,1,
conv4_5_2,14,14,3,3,256,256,1,
conv4_5_3,14,14,1,1,256,1024,1,
conv4_6_1,14,14,1,1,1024,256,1,
conv4_6_2,14,14,3,3,256,256,1,
conv4_6_3,14,14,1,1,256,1024,1,
conv5_1_1,14,14,1,1,1024,512,2,
conv5_1_2,7,7,3,3,512,512,1,
conv5_1_3,7,7,1,1,512,2048,1,
conv5_2_1,7,7,1,1,2048,512,1,
conv5_2_2,7,7,3,3,512,512,1,
conv5_2_3,7,7,1,1,512,2048,1,
conv5_3_1,7,7,1,1,2048,512,1,
conv5_3_2,7,7,3,3,512,512,1,
conv5_3_3,7,7,1,1,512,2048,1,
fc1000,1,2048,1,1,1000,1,1,
