Layer name,Ifmap height,ifmap width,filter height,filter width,channels,num filters,strides,
conv1,224,224,7,7,3,64,2,
conv2_1_1,56,56,1,1,64,64,1,
conv2_1_2,56,56,3,3,64,64,1,
conv2_1_3,56,56,1,1,64,256,1,
conv2_2_1,56,56,1,1,256,64,1,
conv2_2_2,56,56,3,3,64,64,1,
conv2_2_3,56,56,1,1,64,256,1,
conv2_3_1,56,56,1,1,256,64,1,
conv2_3_2,56,56,3,3,64,64,1,
conv2_3_3,56,56,1,1,64,256,1,
conv3_1_1,56,56,1,1,256,128,2,
conv3_1_2,28,28,3,3,128,128,1,
conv3_1_3,28,28,1,1,128,512,1,
conv3_2_1,28,28,1,1,512,128,1,
conv3_2_2,28,28,3,3,128,128,1,
conv3_2_3,28,28,1,1,128,512,1,
conv3_3_1,28,28,1,1,512,128,1,
conv3_3_2,28,28,3,3,128,128,1,
conv3_3_3,28,28,1,1,128,512,1,
conv3_4_1,28,28,1,1,512,128,1,
conv3_4_2,28,28,3,3,128,128,1,
conv3_4_3,28,28,1,1,128,512,1,
conv4_1_1,28,28,1,1,512,256,2,
conv4_1_2,14,14,3,3,256,256,1,
conv4_1_3,14,14,1,1,256,1024,1,
conv4_2_1,14,14,1,1,1024,256,1,
conv4_2_2,14,14,3,3,256,256,1,
conv4_2_3,14,14,1,1,256,1024,1,
conv4_3_1,14,14,1,1,1024,256,1,
conv4_3_2,14,14,3,3,256,256,1,
conv4_3_3,14,14,1,1,256,1024,1,
conv4_4_1,14,14,1,1,1024,256,1,
conv4_4_2,14,14,3,3,256,256,1,
conv4_4_3,14,14,1,1,256,1024,1,
conv4_5_1,14,14,1,1,1024,256,1,
conv4_5_2,14,14,3,3,256,256,1,
conv4_5_3,14,14,1,1,256,1024,1,
conv4_6_1,14,14,1,1,1024,256,1,
conv4_6_2,14,14,3,3,256,256,1,
conv4_6_3,14,14,1,1,256,1024,1,
conv5_1_1,14,14,1,1,1024,512,2,
conv5_1_2,7,7,3,3,512,512,1,
conv5_1_3,7,7,1,1,512,2048,1,
conv5_2_1,7,7,1,1,2048,512,1,
conv5_2_2,7,7,3,3,512,512,1,
conv5_2_3,7,7,1,1,512,2048,1,
conv5_3_1,7,7,1,1,2048,512,1,
conv5_3_2,7,7,3,3,512,512,1,
conv5_3_3,7,7,1,1,512,2048,1,
fc1000,1,1,1,1,2048,1000,1,
